W, H, T
128, 64,1.29735
256, 128,2.98733
384, 192,8.95479
512, 256,15.4111
640, 320,17.0045
768, 384,24.5101
896, 448,35.0024 
1024, 512,47.9089 
1152, 576,52.1491 
1280, 640,71.5122 
1408, 704,87.0353 
1536, 768,91.9252 
1664, 832,123.902 
1792, 896,138.481 
1920, 960,141.433 
2048, 1024,174.212 
2176, 1088,187.618 
2304, 1152,205.005 
2432, 1216,221.627 
2560, 1280,209.14 
2688, 1344,211.11 
2816, 1408,273.894 
2944, 1472,307.072 
3072, 1536,325.886 
3200, 1600,359.859 
3328, 1664,352.157 
3456, 1728,416.873 
3584, 1792,454.399 
3712, 1856,462.942 
3840, 1920,468.875 
3968, 1984,515.755 
4096, 2048,515.063 
4224, 2112,599.986 
4352, 2176,558.597 
4480, 2240,632.579 
4608, 2304,717.419 
4736, 2368,734.548 
4864, 2432,784.604 
4992, 2496,716.37 
5120, 2560,879.185 
5248, 2624,893.597 
5376, 2688,967.874 
5504, 2752,1314.24 
5632, 2816,954.518 
5760, 2880,1024.25 
5888, 2944,1136.42 
6016, 3008,1183.01 
6144, 3072,1227.42 
6272, 3136,1297.25 
6400, 3200,1356.54 
6528, 3264,1376.62 
6656, 3328,1446.31 
6784, 3392,1518.41 
6912, 3456,1565.23 
7040, 3520,1592.98 
7168, 3584,1699.53 
7296, 3648,1799.95 
7424, 3712,1873.32 
7552, 3776,1875.2
7680, 3840,1954.88
7808, 3904,1910.29
7936, 3968, 1896.07 
8064, 4032,2007.15 
8192, 4096,2244.48
